import time: self [us] | cumulative | imported package
import time:        78 |         78 | winreg
import time:       196 |        196 |   _io
import time:        36 |         36 |   marshal
import time:       162 |        162 |   nt
import time:       283 |        675 | _frozen_importlib_external
import time:      1371 |       1371 |   time
import time:       104 |       1475 | zipimport
import time:        48 |         48 |     _codecs
import time:       247 |        295 |   codecs
import time:      1002 |       1002 |   encodings.aliases
import time:      1772 |       3069 | encodings
import time:       568 |        568 | encodings.utf_8
import time:       597 |        597 | encodings.cp1252
import time:        44 |         44 | _signal
import time:        32 |         32 |     _abc
import time:       101 |        133 |   abc
import time:       130 |        262 | io
import time:        54 |         54 |       _stat
import time:        70 |        123 |     stat
import time:       657 |        657 |     _collections_abc
import time:        29 |         29 |       genericpath
import time:        69 |         69 |       _winapi
import time:       445 |        542 |     ntpath
import time:       261 |       1583 |   os
import time:        60 |         60 |   _sitebuiltins
import time:      2322 |       2322 |   _distutils_hack
import time:       710 |        710 |   types
import time:       691 |        691 |       warnings
import time:       669 |       1359 |     importlib
import time:       743 |        743 |     importlib._abc
import time:       139 |        139 |         itertools
import time:       597 |        597 |         keyword
import time:       113 |        113 |           _operator
import time:       704 |        816 |         operator
import time:       597 |        597 |         reprlib
import time:        69 |         69 |         _collections
import time:     10456 |      12672 |       collections
import time:       141 |        141 |         _functools
import time:       954 |       1094 |       functools
import time:       930 |      14695 |     contextlib
import time:       669 |        669 |       _weakrefset
import time:      1691 |       2360 |     threading
import time:       154 |      19308 |   importlib.util
import time:        62 |         62 |   importlib.machinery
import time:      1726 |       1726 |   sitecustomize
import time:       596 |        596 |   usercustomize
import time:      3875 |      30241 | site
import time:       645 |        645 |               __future__
import time:        85 |         85 |                 _struct
import time:       685 |        769 |               struct
import time:      1662 |       3076 |             six
import time:      2428 |       2428 |                       enum
import time:       989 |        989 |                         numpy._utils._convertions
import time:       843 |       1831 |                       numpy._utils
import time:      1106 |       5365 |                     numpy._globals
import time:       781 |        781 |                     numpy.exceptions
import time:       482 |        482 |                     numpy.version
import time:      2984 |       2984 |                           _ctypes
import time:       904 |        904 |                           ctypes._endian
import time:      1419 |       5306 |                         ctypes
import time:      2432 |       2432 |                         mkl._mklinit
import time:       933 |        933 |                           numbers
import time:      1494 |       2427 |                         mkl._py_mkl_service
import time:       869 |      11033 |                       mkl
import time:      4050 |      15082 |                     numpy._distributor_init
import time:       530 |        530 |                               numpy._utils._inspect
import time:        88 |         88 |                                   math
import time:       126 |        126 |                                   _datetime
import time:      1404 |       1617 |                                 datetime
import time:       718 |        718 |                                 numpy.core._exceptions
import time:       490 |        490 |                                 numpy.dtypes
import time:      2875 |       5700 |                               numpy.core._multiarray_umath
import time:       668 |       6898 |                             numpy.core.overrides
import time:      1101 |       7999 |                           numpy.core.multiarray
import time:       547 |        547 |                           numpy.core.umath
import time:       527 |        527 |                             numpy.core._string_helpers
import time:       669 |        669 |                                         posix
import time:        76 |        745 |                                       posixpath
import time:        73 |         73 |                                           _sre
import time:       664 |        664 |                                             re._constants
import time:       683 |       1347 |                                           re._parser
import time:       485 |        485 |                                           re._casefix
import time:       812 |       2716 |                                         re._compiler
import time:       632 |        632 |                                         copyreg
import time:       949 |       4295 |                                       re
import time:       645 |       5684 |                                     fnmatch
import time:        77 |         77 |                                     errno
import time:       639 |        639 |                                       urllib
import time:      1619 |       1619 |                                       ipaddress
import time:      1449 |       3707 |                                     urllib.parse
import time:      1889 |      11356 |                                   pathlib
import time:       903 |        903 |                                   pickle5
import time:       699 |        699 |                                     _compat_pickle
import time:       115 |        115 |                                     _pickle
import time:       648 |        648 |                                         org
import time:        21 |        669 |                                       org.python
import time:        28 |        696 |                                     org.python.core
import time:      1447 |       2955 |                                   pickle
import time:       777 |      15990 |                                 numpy.compat.py3k
import time:       578 |      16567 |                               numpy.compat
import time:       538 |        538 |                               numpy.core._dtype
import time:       720 |      17825 |                             numpy.core._type_aliases
import time:       705 |      19056 |                           numpy.core.numerictypes
import time:       693 |        693 |                                     collections.abc
import time:        41 |         41 |                                       _contextvars
import time:       601 |        642 |                                     contextvars
import time:       748 |       2082 |                                   numpy.core._ufunc_config
import time:       731 |       2812 |                                 numpy.core._methods
import time:      1198 |       4010 |                               numpy.core.fromnumeric
import time:       675 |       4685 |                             numpy.core.shape_base
import time:       950 |        950 |                             numpy.core.arrayprint
import time:       542 |        542 |                             numpy.core._asarray
import time:      1083 |       7258 |                           numpy.core.numeric
import time:      1155 |       1155 |                           numpy.core.defchararray
import time:       668 |        668 |                           numpy.core.records
import time:       546 |        546 |                           numpy.core.memmap
import time:      9582 |       9582 |                           numpy.core.function_base
import time:       598 |        598 |                           numpy.core._machar
import time:       680 |        680 |                           numpy.core.getlimits
import time:       667 |        667 |                           numpy.core.einsumfunc
import time:      1032 |       1032 |                             numpy.core._multiarray_tests
import time:      1490 |       2521 |                           numpy.core._add_newdocs
import time:       804 |        804 |                           numpy.core._add_newdocs_scalars
import time:       505 |        505 |                           numpy.core._dtype_ctypes
import time:      1020 |       1020 |                               _ast
import time:      1445 |       2465 |                             ast
import time:      1023 |       3488 |                           numpy.core._internal
import time:       524 |        524 |                           numpy._pytesttester
import time:      1157 |      57747 |                         numpy.core
import time:        21 |      57768 |                       numpy.core._multiarray_umath
import time:       737 |      58504 |                     numpy.__config__
import time:      1333 |       1333 |                       numpy.lib.mixins
import time:       522 |        522 |                           numpy.lib.ufunclike
import time:       675 |       1197 |                         numpy.lib.type_check
import time:       682 |       1878 |                       numpy.lib.scimath
import time:        41 |         41 |                                   _typing
import time:      2681 |       2722 |                                 typing
import time:       600 |        600 |                                   numpy.lib.stride_tricks
import time:      1038 |       1638 |                                 numpy.lib.twodim_base
import time:      1235 |       1235 |                                 numpy.linalg._umath_linalg
import time:       910 |        910 |                                   numpy._typing._nested_sequence
import time:       495 |        495 |                                   numpy._typing._nbit
